No.,Date,Matchweek,Home team,Away team,Score (FT/HT),Goals (home),Goals (away)
1,17 February 1929,2,Barcelona,Real Madrid,1–2 (0–1),Parera (70),"Morera (10, 55)"
2,9 May 1929,11,Real Madrid,Barcelona,0–1 (0–0),,Sastre (83)
3,26 January 1930,9,Barcelona,Real Madrid,1–4 (0–3),Bestit (63),"Rubio (10, 37), F. López (17), Lazcano (71)"
4,30 March 1930,18,Real Madrid,Barcelona,5–1 (3–0),"Rubio (5, 23), Lazcano (42, 68, 72)",Goiburu (84)
5,1 February 1931,9,Real Madrid,Barcelona,0–0,,
6,5 April 1931,18,Barcelona,Real Madrid,3–1 (2–1),"Ramón (10, 38, 80)",Eugenio (39)
7,31 January 1932,9,Real Madrid,Barcelona,2–0 (2–0),"Olivares (26, 40)",
8,3 April 1932,18,Barcelona,Real Madrid,2–2 (1–1),"Samitier (20), Arocha (87 p.)","Lazcano (43), Regueiro (70)"
9,1 January 1933,6,Barcelona,Real Madrid,1–1 (0–0),Arocha (68),Regueiro (78 p.)
10,5 March 1933,15,Real Madrid,Barcelona,2–1 (1–0),"Samitier (35, 68)",Goiburu (89)
11,26 November 1933,4,Barcelona,Real Madrid,1–2 (0–2),Morera (46),"Olivares (9), Regueiro (26)"
12,28 January 1934,13,Real Madrid,Barcelona,4–0 (3–0),"Valle (7), Samitier (20), Regueiro (30), Eugenio (50)",
13,3 February 1935,10,Real Madrid,Barcelona,8–2 (5–1),"Lazcano (15, 42, 73), Sañudo (21, 35, 47, 81), Regueiro (29)","Escolà (17), Guzmán (68)"
14,21 April 1935,21,Barcelona,Real Madrid,5–0 (1–0),"Ventolrà (43, 62, 68, 82), Escolà (48)",
15,22 December 1935,7,Barcelona,Real Madrid,0–3 (0–2),,"Regueiro (21), Diz (40), Lecue (47)"
16,22 March 1936,18,Real Madrid,Barcelona,3–0 (2–0),"Lecue (10, 47), Emilin (43)",
17,28 January 1940,9,Real Madrid,Barcelona,2–1 (1–1),"Alonso (1), Lecue (75)",Pascual (3)
18,14 April 1940,20,Barcelona,Real Madrid,0–0,,
19,1 December 1940,10,Barcelona,Real Madrid,3–0 (0–0),"Sospedra (49, 69), Valle Mas (53)",
20,23 February 1941,21,Real Madrid,Barcelona,1–2 (0–0),Barinaga (49),"Bravo (60), Martín (63)"
21,19 October 1941,4,Real Madrid,Barcelona,4–3 (2–1),"Arbiza (17, 70), Benito (35 o.g.), Belmar (55)","Calvet (25), Raich (60 p.), Gracia (87)"
22,25 January 1942,17,Barcelona,Real Madrid,0–2 (0–0),,"Alday (63, 78)"
23,27 September 1942,1,Real Madrid,Barcelona,3–0 (1–0),"Arbiza (7, 89), Alsúa (52)",
24,10 January 1943,14,Barcelona,Real Madrid,5–5 (4–2),"Martín (25, 40), Escolà (31), Valle Mas (32, 62)","Alonso (10), Alday (27, 51), Botella (74), Mardones II (87)"
25,2 January 1944,13,Real Madrid,Barcelona,0–1 (0–0),,Valle Mas (50)
26,9 April 1944,26,Barcelona,Real Madrid,1–2 (1–0),Escolà (13),"Alsúa (62), Rosalénch (71 o.g.)"
27,12 November 1944,8,Real Madrid,Barcelona,1–0 (1–0),Moleiro (21),
28,25 March 1945,21,Barcelona,Real Madrid,5–0 (1–0),"César (41, 46), Bravo (52), Escolà (77), Gonzalvo III (86)",
29,25 November 1945,9,Real Madrid,Barcelona,3–2 (1–0),"Barinaga (23), Pruden (63), Belmar (67)","Martín (51), Gonzalvo III (85)"
30,3 March 1946,22,Barcelona,Real Madrid,1–0 (1–0),César (17),
31,1 December 1946,11,Real Madrid,Barcelona,2–1 (1–1),"Corona (4 p.), Molowny (79)",Seguer (23)
32,30 March 1947,24,Barcelona,Real Madrid,3–2 (2–0),"Bravo (18), Navarro (39, 49)","Arsuaga (48, 60)"
33,12 October 1947,4,Real Madrid,Barcelona,1–1 (0–1),Barinaga (65),Clemente (31 o.g.)
34,25 January 1948,17,Barcelona,Real Madrid,4–2 (3–0),"Seguer (2), Basora (28, 58), César (43)","Gallardo (68), Rafa Yunta (76)"
35,19 September 1948,2,Real Madrid,Barcelona,1–2 (0–1),Barinaga (60),"Florencio (41), Basora (48)"
36,9 January 1949,15,Barcelona,Real Madrid,3–1 (1–1),"César (28, 61), Basora (56)",Pahiño (9)
37,18 September 1949,3,Real Madrid,Barcelona,6–1 (3–0),"Pahiño (2, 40, 68), Cabrera (4), Macala (62, 69)",Gonzalvo II (85)
38,15 January 1950,16,Barcelona,Real Madrid,2–3 (1–0),"Basora (41), César (53)","Pahiño (58), Rafael Verdú (66), Cabrera (73)"
39,24 September 1950,3,Barcelona,Real Madrid,7–2 (3–1),"Nicolau (9, 56), César (14), Aurelio (39, 88), Gonzalvo III (62), Basora (82)","Molowny (15), García González (66)"
40,14 January 1951,18,Real Madrid,Barcelona,4–1 (4–1),"Narro (8, 17, 29), Pahiño (13)",Canal (31)
41,11 November 1951,10,Real Madrid,Barcelona,5–1 (3–1),"Molowny (3), Cabrera (32), Pahiño (35, 87), Olsen (57)",Basora (44)
42,2 March 1952,25,Barcelona,Real Madrid,4–2 (2–2),"Vila Soler (13), César (36, 56, 74)","Olsen (33), Arsuaga (39)"
43,23 November 1952,11,Real Madrid,Barcelona,2–1 (0–0),"Arsuaga (76, 80)",Manchón (67)
44,5 April 1953,26,Barcelona,Real Madrid,1–0 (1–0),Moreno (15),
45,25 October 1953,7,Real Madrid,Barcelona,5–0 (4–0),"Di Stéfano (10, 85), Olsen (34, 35), Molowny (39)",
46,21 February 1954,22,Barcelona,Real Madrid,5–1 (1–1),"Tejada (14, 86), César (50), Moreno (74), Manchón (89)",Di Stéfano (6)
47,21 November 1954,11,Real Madrid,Barcelona,3–0 (1–0),"Di Stéfano (44 p.), Héctor Rial (66), Joseito (67)",
48,6 March 1955,26,Barcelona,Real Madrid,2–2 (1–1),"Basora (31), Dagoberto Moll (70)","Gento (19, 64)"
49,13 November 1955,10,Real Madrid,Barcelona,2–1 (1–0),"Héctor Rial (35), Marquitos (89)",Areta (77)
50,18 March 1956,25,Barcelona,Real Madrid,2–0 (2–0),"Villaverde (18, 29)",
51,11 November 1956,10,Barcelona,Real Madrid,1–0 (0–0),Luis Suárez (46),
52,3 March 1957,25,Real Madrid,Barcelona,1–0 (1–0),Joseito (21),
53,13 October 1957,5,Real Madrid,Barcelona,3–0 (2–0),"Kopa (10), Héctor Rial (43), Di Stéfano (73)",
54,2 February 1958,20,Barcelona,Real Madrid,0–2 (0–2),,"Marsal (34), Héctor Rial (37)"
55,26 October 1958,7,Barcelona,Real Madrid,4–0 (1–0),"Evaristo (22, 68, 70), Tejada (84)",
56,15 February 1959,22,Real Madrid,Barcelona,1–0 (0–0),Herrera (79),
57,29 November 1959,11,Real Madrid,Barcelona,2–0 (1–0),"Mateos (5), Di Stéfano (82)",
58,20 March 1960,26,Barcelona,Real Madrid,3–1 (0–0),"Kocsis (50), Martínez (60), Villaverde (62)",Di Stéfano (58)
59,4 December 1960,12,Barcelona,Real Madrid,3–5 (2–3),"Martínez (28), Villaverde (34), Kubala (89)","Di Stéfano (3, 81), del Sol (15), Gento (43, 79)"
60,26 March 1961,27,Real Madrid,Barcelona,3–2 (0–0),"del Sol (55), Di Stéfano (60), Puskás (78)","Luis Suárez (80), Kubala (89)"
61,30 September 1961,5,Real Madrid,Barcelona,2–0 (1–0),"Puskás (14), del Sol (72)",
62,21 January 1962,20,Barcelona,Real Madrid,3–1 (2–0),"Evaristo (4, 83), Kocsis (40)",Félix Ruiz (86)
63,30 September 1962,3,Real Madrid,Barcelona,2–0 (1–0),"Di Stéfano (20, 70)",
64,27 January 1963,18,Barcelona,Real Madrid,1–5 (1–2),Ré (34),"Puskás (24 p., 35, 71), Di Stéfano (47), Gento (67)"
65,15 December 1963,12,Real Madrid,Barcelona,4–0 (1–0),"Puskás (37, 68, 84 p.), Di Stéfano (77)",
66,30 March 1964,27,Barcelona,Real Madrid,1–2 (1–2),Zaldúa (27),"Gento (18), Puskás (43)"
67,8 November 1964,9,Real Madrid,Barcelona,4–1 (2–0),"Amancio (16, 31, 74), Serena (76)",Ré (68)
68,28 February 1965,24,Barcelona,Real Madrid,1–2 (1–0),Ré (40),"Pirri (63), Serena (70)"
69,19 December 1965,14,Real Madrid,Barcelona,1–3 (1–3),Félix Ruiz (20),"Fusté (7, 8), Zaldúa (34)"
70,27 March 1966,29,Barcelona,Real Madrid,2–1 (0–1),"Rifé (59), Zaballa (63)",Gento (39)
71,20 November 1966,10,Real Madrid,Barcelona,1–0 (0–0),Veloso (89),
72,19 March 1967,25,Barcelona,Real Madrid,2–1 (1–1),"Fusté (7, 89)",Amancio (42)
73,10 December 1967,12,Real Madrid,Barcelona,1–1 (0–0),Gento (65 p.),Zaldúa (78)
74,9 April 1968,27,Barcelona,Real Madrid,1–1 (1–1),Zaldúa (12),Pirri (43)
75,16 November 1968,9,Real Madrid,Barcelona,2–1 (1–1),"Pirri (32), José Luis (75)",Zaldúa (19)
76,9 March 1969,24,Barcelona,Real Madrid,1–1 (1–0),Zaldúa (26),Gento (87 p.)
77,14 September 1969,1,Real Madrid,Barcelona,3–3 (2–2),"Fleitas (18, 38), Gento (63)","Bustillo (3, 5), Rexach (71)"
78,28 December 1969,16,Barcelona,Real Madrid,1–0 (1–0),Gallego (29),
79,25 October 1970,7,Real Madrid,Barcelona,0–1 (0–1),,Zabalza (28)
80,14 February 1971,22,Barcelona,Real Madrid,0–1 (0–0),,Grande (67)
81,27 November 1971,11,Real Madrid,Barcelona,1–1 (1–0),Grosso (6),Asensi (68)
82,3 April 1972,28,Barcelona,Real Madrid,1–0 (1–0),Asensi (11),
83,1 October 1972,5,Barcelona,Real Madrid,1–0 (0–0),Barrios (52),
84,24 February 1973,22,Real Madrid,Barcelona,0–0,,
85,7 October 1973,6,Barcelona,Real Madrid,0–0,,
86,16 February 1974,22,Real Madrid,Barcelona,0–5 (0–2),,"Asensi (30, 54), Cruyff (39), Juan Carlos (65), Sotil (69)"
87,4 January 1975,15,Real Madrid,Barcelona,1–0 (1–0),Martínez (43),
88,11 May 1975,32,Barcelona,Real Madrid,0–0,,
89,27 December 1975,15,Barcelona,Real Madrid,2–1 (1–0),"Neeskens (3), Rexach (89)",Pirri (64)
90,30 April 1976,32,Real Madrid,Barcelona,0–2 (0–1),,"Rexach (15), Heredia (64)"
91,19 September 1976,3,Barcelona,Real Madrid,3–1 (1–0),"Marcial (29), Cruyff (53), Heredia (86)",Pirri (52)
92,30 January 1977,20,Real Madrid,Barcelona,1–1 (1–1),Pirri (2 p.),Cruyff (16)
93,4 December 1977,12,Barcelona,Real Madrid,2–3 (1–2),"Rexach (30, 67 p.)","Jensen (23), Santillana (35), Stielike (54)"
94,5 April 1978,29,Real Madrid,Barcelona,4–0 (2–0),"Jensen (6, 10), Juanito (69), Santillana (80)",
95,23 September 1978,4,Real Madrid,Barcelona,3–1 (2–1),"Santillana (29, 46), Jensen (32)",Neeskens (15)
96,17 February 1979,21,Barcelona,Real Madrid,2–0 (0–0),"Krankl (52), Asensi (61)",
97,23 September 1979,3,Real Madrid,Barcelona,3–2 (3–2),"Santillana (6), Juanito (8), Cunningham (32)","Landáburu (23), Krankl (36)"
98,10 February 1980,20,Barcelona,Real Madrid,0–2 (0–0),,"García Hernández (61), Santillana (63)"
99,30 November 1980,13,Barcelona,Real Madrid,2–1 (1–1),"Schuster (15), Quini (64)",Juanito (22)
100,29 March 1981,30,Real Madrid,Barcelona,3–0 (0–0),"Juanito (53 p.), Santillana (71), Stielike (76)",
101,20 December 1981,16,Barcelona,Real Madrid,3–1 (1–0),"Alexanko (7), Quini (53, 60 p.)",Juanito (49)
102,18 April 1982,33,Real Madrid,Barcelona,3–1 (2–1),"Rafael Cortés (6), Stielike (45 p.), Isidro (82)",Quini (42)
103,27 November 1982,13,Real Madrid,Barcelona,0–2 (0–1),,"Esteban Vigo (14), Quini (86)"
104,26 March 1983,30,Barcelona,Real Madrid,2–1 (1–1),"Maradona (45), Perico Alonso (77)",Juanito (20)
105,22 October 1983,8,Barcelona,Real Madrid,1–2 (1–2),Quini (17 p.),"Juanito (12 p.), Santillana (20)"
106,25 February 1984,25,Real Madrid,Barcelona,2–1 (1–0),"Juanito (16), Santillana (80)",Maradona (56)
107,2 September 1984,1,Real Madrid,Barcelona,0–3 (0–0),,"Ángel (46 o.g.), Archibald (86), Calderé (89)"
108,30 December 1984,18,Barcelona,Real Madrid,3–2 (1–1),"Gerardo (25), Migueli (53), Esteban Vigo (79)","Sanchís (30), Butragueño (89)"
109,9 November 1985,11,Barcelona,Real Madrid,2–0 (1–0),"Marcos (2), Calderé (72)",
110,8 March 1986,28,Real Madrid,Barcelona,3–1 (0–0),"Maceda (64), Valdano (67), Butragueño (83)",Amarilla (51)
111,8 October 1986,8,Real Madrid,Barcelona,1–1 (1–1),H. Sánchez (27 p.),Pedraza (6)
112,31 January 1987,25,Barcelona,Real Madrid,3–2 (2–0),"Lineker (2, 5, 47)","Valdano (61), H. Sánchez (80 p.)"
113,12 April 1987,35,Real Madrid,Barcelona,0–0,,
114,23 May 1987,40,Barcelona,Real Madrid,2–1 (1–0),"Lineker (39), Roberto (60 p.)",H. Sánchez (53)
115,2 January 1988,16,Real Madrid,Barcelona,2–1 (2–1),"H. Sánchez (22 p., 41)",Schuster (30 p.)
116,30 April 1988,35,Barcelona,Real Madrid,2–0 (1–0),"Carrasco (1), Lineker (70)",
117,22 October 1988,8,Real Madrid,Barcelona,3–2 (0–1),"H. Sánchez (57), Aldana (59), Gordillo (81)","Bakero (21), Carrasco (70)"
118,1 April 1989,27,Barcelona,Real Madrid,0–0,,
119,7 October 1989,6,Barcelona,Real Madrid,3–1 (1–1),"Salinas (10), Koeman (74 p., 89 p.)",H. Sánchez (5 p.)
120,15 February 1990,25,Real Madrid,Barcelona,3–2 (2–0),"Míchel (24), Butragueño (45), Hugo Sánchez (46 p.)","Salinas (54, 57)"
121,19 January 1991,19,Barcelona,Real Madrid,2–1 (1–1),"Laudrup (18), Spasić (62 o.g.)",Butragueño (28)
122,8 June 1991,38,Real Madrid,Barcelona,1–0 (0–0),Aldana (47),
123,19 October 1991,6,Real Madrid,Barcelona,1–1 (1–0),Prosinečki (19),Koeman (58 p.)
124,7 March 1992,25,Barcelona,Real Madrid,1–1 (1–0),Koeman (36),Hierro (66)
125,5 September 1992,1,Barcelona,Real Madrid,2–1 (1–0),"Bakero (4), Stoichkov (87)",Míchel (71 p.)
126,29 January 1993,20,Real Madrid,Barcelona,2–1 (2–1),"Zamorano (9), Míchel (41 p.)",Amor (15)
127,8 January 1994,18,Barcelona,Real Madrid,5–0 (1–0),"Romário (24, 56, 81), Koeman (47), Iglesias (86)",
128,6 May 1994,37,Real Madrid,Barcelona,0–1 (0–0),,Amor (77)
129,6 January 1995,16,Real Madrid,Barcelona,5–0 (3–0),"Zamorano (5, 21, 39), Luis Enrique (68), Amavisca (70)",
130,26 May 1995,35,Barcelona,Real Madrid,1–0 (0–0),Nadal (62),
131,30 September 1995,5,Real Madrid,Barcelona,1–1 (1–1),Raúl (12),Roger (31)
132,9 February 1996,26,Barcelona,Real Madrid,3–0 (1–0),"Kodro (36, 89), Figo (71)",
133,7 December 1996,16,Real Madrid,Barcelona,2–0 (1–0),"Šuker (24), Mijatović (48)",
134,10 May 1997,37,Barcelona,Real Madrid,1–0 (1–0),Ronaldo (44),
135,1 November 1997,9,Real Madrid,Barcelona,2–3 (0–1),"Raúl (48), Šuker (61)","Rivaldo (5), Luis Enrique (50), Giovanni (79)"
136,7 March 1998,28,Barcelona,Real Madrid,3–0 (0–0),"Anderson (69), Figo (80), Giovanni (85)",
137,19 September 1998,3,Real Madrid,Barcelona,2–2 (2–1),"Raúl (7, 25)","Kluivert (12), Anderson (82)"
138,14 February 1999,22,Barcelona,Real Madrid,3–0 (2–0),"Luis Enrique (4, 36), Rivaldo (80)",
139,13 October 1999,7,Barcelona,Real Madrid,2–2 (1–1),"Rivaldo (28), Figo (49)","Raúl (26, 86)"
140,26 February 2000,26,Real Madrid,Barcelona,3–0 (2–0),"Roberto Carlos (5), Anelka (19), Morientes (52)",
141,21 October 2000,6,Barcelona,Real Madrid,2–0 (1–0),"Luis Enrique (26), Simão (79)",
142,3 March 2001,25,Real Madrid,Barcelona,2–2 (2–1),"Raúl (6, 36)","Rivaldo (35, 69)"
143,4 November 2001,11,Real Madrid,Barcelona,2–0 (1–0),"Morientes (23), Figo (89)",
144,16 March 2002,30,Barcelona,Real Madrid,1–1 (0–1),Xavi (58),Zidane (38)
145,23 November 2002,11,Barcelona,Real Madrid,0–0,,
146,19 April 2003,30,Real Madrid,Barcelona,1–1 (1–1),Ronaldo (15),Luis Enrique (31)
147,6 December 2003,15,Barcelona,Real Madrid,1–2 (0–1),Kluivert (82),"Roberto Carlos (36), Ronaldo (72)"
148,25 April 2004,34,Real Madrid,Barcelona,1–2 (0–0),Solari (53),"Kluivert (57), Xavi (86)"
149,20 November 2004,12,Barcelona,Real Madrid,3–0 (2–0),"Eto'o (29), Van Bronckhorst (44), Ronaldinho (77 p.)",
150,10 April 2005,31,Real Madrid,Barcelona,4–2 (3–1),"Zidane (7), Ronaldo (20), Raúl (45+2), Owen (65)","Eto'o (29), Ronaldinho (73)"
151,19 November 2005,12,Real Madrid,Barcelona,0–3 (0–1),,"Eto'o (14), Ronaldinho (59, 77)"
152,1 April 2006,31,Barcelona,Real Madrid,1–1 (1–1),Ronaldinho (22 p.),Ronaldo (37)
153,22 October 2006,7,Real Madrid,Barcelona,2–0 (1–0),"Raúl (3), Van Nistelrooy (51)",
154,10 March 2007,26,Barcelona,Real Madrid,3–3 (2–2),"Messi (11, 28, 90+1)","Van Nistelrooy (5, 13 p.), Ramos (73)"
155,23 December 2007,17,Barcelona,Real Madrid,0–1 (0–1),,Baptista (36)
156,7 May 2008,36,Real Madrid,Barcelona,4–1 (2–0),"Raúl (13), Robben (21), Higuaín (63), Van Nistelrooy (78 p.)",Henry (87)
157,13 December 2008,15,Barcelona,Real Madrid,2–0 (0–0),"Eto'o (83), Messi (90)",
158,2 May 2009,34,Real Madrid,Barcelona,2–6 (1–3),"Higuaín (14), Ramos (56)","Henry (18, 58), Puyol (20), Messi (36, 75), Piqué (83)"
159,29 November 2009,12,Barcelona,Real Madrid,1–0 (0–0),Ibrahimović (56),
160,10 April 2010,31,Real Madrid,Barcelona,0–2 (0–1),,"Messi (33), Pedro (56)"
161,29 November 2010,13,Barcelona,Real Madrid,5–0 (2–0),"Xavi (10), Pedro (18), Villa (55, 58), Jeffrén (90+1)",
162,16 April 2011,32,Real Madrid,Barcelona,1–1 (0–0),C. Ronaldo (82 p.),Messi (53 p.)
163,10 December 2011,16,Real Madrid,Barcelona,1–3 (1–1),Benzema (1),"A. Sánchez (30), Xavi (53), Fàbregas (66)"
164,21 April 2012,35,Barcelona,Real Madrid,1–2 (0–1),A. Sánchez (71),"Khedira (17), C. Ronaldo (73)"
165,7 October 2012,7,Barcelona,Real Madrid,2–2 (1–1),"Messi (31, 61)","C. Ronaldo (23, 66)"
166,2 March 2013,26,Real Madrid,Barcelona,2–1 (1–1),"Benzema (6), Ramos (82)",Messi (18)
167,26 October 2013,10,Barcelona,Real Madrid,2–1 (1–0),"Neymar (19), A. Sánchez (78)",Jesé (90+1)
168,23 March 2014,29,Real Madrid,Barcelona,3–4 (2–2),"Benzema (20, 24), C. Ronaldo (55 p.)","Iniesta (7), Messi (42, 65 p., 84 p.)"
169,25 October 2014,9,Real Madrid,Barcelona,3–1 (1–1),"C. Ronaldo (35 p.), Pepe (50), Benzema (61)",Neymar (4)
170,22 March 2015,28,Barcelona,Real Madrid,2–1 (1–1),"Mathieu (19), L. Suárez (56)",C. Ronaldo (31)
171,21 November 2015,12,Real Madrid,Barcelona,0–4 (0–2),,"L. Suárez (11, 74), Neymar (39), Iniesta (53)"
172,2 April 2016,31,Barcelona,Real Madrid,1–2 (0–0),Piqué (56),"Benzema (62), C. Ronaldo (85)"
173,3 December 2016,14,Barcelona,Real Madrid,1–1 (0–0),L. Suárez (53),Ramos (90)
174,23 April 2017,33,Real Madrid,Barcelona,2–3 (1–1),"Casemiro (28), Rodríguez (85)","Messi (33, 90+2), Rakitić (73)"
175,23 December 2017,17,Real Madrid,Barcelona,0–3 (0–0),,"L. Suárez (54), Messi (64 p.), Al. Vidal (90+3)"
176,6 May 2018,36,Barcelona,Real Madrid,2–2 (1–1),"L. Suárez (10), Messi (52)","C. Ronaldo (14), Bale (72)"
177,28 October 2018,10,Barcelona,Real Madrid,5–1 (2–0),"Coutinho (11), L. Suárez (30 p., 75, 83), Ar. Vidal (87)",Marcelo (50)
178,2 March 2019,26,Real Madrid,Barcelona,0–1 (0–1),,Rakitić (26)
179,18 December 2019,10,Barcelona,Real Madrid,0–0,,
180,1 March 2020,26,Real Madrid,Barcelona,2–0 (0–0),"Vinícius (71), Díaz (90+2)",
181,24 October 2020,7,Barcelona,Real Madrid,1–3 (1–1),Fati (8),"Valverde (5), Ramos (63 p.), Modrić (90)"
182,10 April 2021,30,Real Madrid,Barcelona,2–1 (2–0),"Benzema (13), Kroos (28)",Mingueza (60)
183,24 October 2021,10,Barcelona,Real Madrid,1–2 (0–1),Agüero (90+7),"Alaba (32), Vázquez (90+4)"
184,20 March 2022,28,Real Madrid,Barcelona,0–4 (0–2),,"Aubameyang (29, 51), Araújo (38), Torres (47)"
185,16 October 2022,9,Real Madrid,Barcelona,3–1 (2–0),"Benzema (12), Valverde (35), Rodrygo (90+1 p.)",Torres (83)
186,19 March 2023,26,Barcelona,Real Madrid,2–1 (1–1),"Roberto (45), Kessié (90+1)",Araújo (9 o.g.)
187,28 October 2023,11,Barcelona,Real Madrid,1–2 (1–0),Gündoğan (6),"Bellingham (68, 90+2)"
188,21 April 2024,32,Real Madrid,Barcelona,3–2 (1–1),"Vinícius (18 p.), Vázquez (73), Bellingham (90+1)","Christensen (6), López (69)"
189,26 October 2024,11,Real Madrid,Barcelona,0–4 (0–0),,"Lewandowski (54, 56), Yamal (77), Raphinha (84)"
190,11 May 2025,35,Barcelona,Real Madrid,,,
