Date,Venue,League,Barcelona_Goals,Real_Madrid_Goals,Winner,Barcelona_Scorers,Real_Madrid_Scorers,Real_Madrid_Own_Goals,Barcelona_Own_Goals
20-12-1981,Camp Nou,La Liga,3,1,Barcelona,"Alexanko, Quini, Quini",Juanito,,
18-04-1982,Santiago Bernabeu Stadium,La Liga,1,3,Real Madrid,Quini,"Cortes, Stielike, Isidro",,
27-11-1982,Santiago Bernabeu Stadium,La Liga,2,0,Barcelona,"Vigo, Quini",,,
26-03-1983,Camp Nou,La Liga,2,1,Barcelona,"Maradona, Periko Alonso",Juanito,,
04-06-1983,La Romareda Stadium,Copa Del Rey,2,1,Barcelona,"Victor, Marcos",Santillana,,
26-06-1983,Santiago Bernabeu Stadium,Copa De La Liga,2,2,Draw,"Carrasco, Maradona","Bosque, Juan Gomez",,
29-06-1983,Camp Nou,Copa De La Liga,2,1,Barcelona,"Alexanko, Maradona",Santillana,,
22-10-1983,Camp Nou,La Liga,1,2,Real Madrid,Quini,"Juanito, Santillana",,
25-02-1984,Santiago Bernabeu Stadium,La Liga,1,2,Real Madrid,Maradona,"Juanito, Santillana",,
02-09-1984,Santiago Bernabeu Stadium,La Liga,3,0,Barcelona,"Archibald, Caldere",,Angel,
30-12-1984,Camp Nou,La Liga,3,2,Barcelona,"Gerardo, Migueli, Vigo","Sanchis, Butragueno",,
11-05-1985,Camp Nou,Copa De La Liga,2,2,Draw,"Clos, Marcos","Valdano, Juanito",,
18-05-1985,Santiago Bernabeu Stadium,Copa De La Liga,1,1,Draw,Moratalla,Valdano,,
09-11-1985,Camp Nou,La Liga,2,0,Barcelona,"Marcos, Caldere",,,
08-03-1986,Santiago Bernabeu Stadium,La Liga,1,3,Real Madrid,Amarilla,"Maceda, Valdano, Butragueno",,
11-05-1986,Camp Nou,Copa De La Liga,2,2,Draw,"Clos, Archibald","Pardeza, Cholo",,
18-05-1986,Santiago Bernabeu Stadium,Copa De La Liga,4,0,Barcelona,"Amarilla, Amarilla, Urbano, Esteban",,,
08-10-1986,Santiago Bernabeu Stadium,La Liga,1,1,Draw,Pedraza,Hugo Sanchez,,
31-01-1987,Camp Nou,La Liga,3,2,Barcelona,"Lineker, Lineker, Lineker","Valdano, Hugo Sanchez",,
12-04-1987,Santiago Bernabeu Stadium,La Liga,0,0,Draw,,,,
23-05-1987,Camp Nou,La Liga,2,1,Barcelona,"Lineker, Roberto",Hugo Sanchez,,
02-01-1988,Santiago Bernabeu Stadium,La Liga,1,2,Real Madrid,Schuster,"Hugo Sanchez, Hugo Sanchez",,
30-04-1988,Camp Nou,La Liga,2,0,Barcelona,"Carrasco, Lineker",,,
21-09-1988,Santiago Bernabeu Stadium,Supercopa,0,2,Real Madrid,,"Michel, Hugo Sanchez",,
29-09-1988,Camp Nou,Supercopa,2,1,Barcelona,"Bakero, Bakero",Butragueno,,
22-10-1988,Santiago Bernabeu Stadium,La Liga,2,3,Real Madrid,"Bakero, Carrasco","Hugo Sanchez, Aldana, Gordillo",,
01-04-1989,Camp Nou,La Liga,0,0,Draw,,,,
07-10-1989,Camp Nou,La Liga,3,1,Barcelona,"Salinas, Koeman, Koeman",Hugo Sanchez,,
15-02-1990,Santiago Bernabeu Stadium,La Liga,2,3,Real Madrid,"Salinas, Salinas","Michel, Butragueno, Hugo Sanchez",,
04-04-1990,Mestalla Stadium,Copa Del Rey,2,0,Barcelona,"Amor, Salinas",,,
05-12-1990,Camp Nou,Supercopa,0,1,Real Madrid,,Michel,,
12-12-1990,Santiago Bernabeu Stadium,Supercopa,1,4,Real Madrid,Goikoetxea,"Butragueno, Butragueno, Hugo Sanchez, Aragon",,
19-01-1991,Camp Nou,La Liga,2,1,Barcelona,Laudrup,Butragueno,Spasic,
08-06-1991,Santiago Bernabeu Stadium,La Liga,0,1,Real Madrid,,Aldana,,
19-10-1991,Santiago Bernabeu Stadium,La Liga,1,1,Draw,Koeman,Prosinecki,,
07-03-1992,Camp Nou,La Liga,1,1,Draw,Koeman,Hierro,,
05-09-1992,Camp Nou,La Liga,2,1,Barcelona,"Bakero, Stoichkov",Michel,,
29-01-1993,Santiago Bernabeu Stadium,La Liga,1,2,Real Madrid,Amor,"Zamorano, Michel",,
08-06-1993,Santiago Bernabeu Stadium,Copa Del Rey,1,1,Draw,Bakero,Zamorano,,
15-06-1993,Camp Nou,Copa Del Rey,1,2,Real Madrid,Laudrup,"Zamorano, Michel",,
02-12-1993,Santiago Bernabeu Stadium,Supercopa,1,3,Real Madrid,Stoichkov,"Alfonso, Alfonso, Zamorano",,
16-12-1993,Camp Nou,Supercopa,1,1,Draw,Bakero,Zamorano,,
08-01-1994,Camp Nou,La Liga,5,0,Barcelona,"Romario, Romario, Romario, Koeman, Iglesias",,,
06-05-1994,Santiago Bernabeu Stadium,La Liga,1,0,Barcelona,Amor,,,
06-01-1995,Santiago Bernabeu Stadium,La Liga,0,5,Real Madrid,,"Zamorano, Zamorano, Zamorano, Enrique, Amavisca",,
26-05-1995,Camp Nou,La Liga,1,0,Barcelona,Nadal,,,
30-09-1995,Santiago Bernabeu Stadium,La Liga,1,1,Draw,Roger,Raul,,
09-02-1996,Camp Nou,La Liga,3,0,Barcelona,"Kodro, Kodro, Figo",,,
07-12-1996,Santiago Bernabeu Stadium,La Liga,0,2,Real Madrid,,"Suker, Mijatovic",,
29-01-1997,Camp Nou,Copa Del Rey,3,2,Barcelona,"Ronaldo, Nadal, Giovanni","Suker, Hierro",,
05-02-1997,Santiago Bernabeu Stadium,Copa Del Rey,1,1,Draw,,Suker,Roberto,
10-05-1997,Camp Nou,La Liga,1,0,Barcelona,Ronaldo,,,
20-08-1997,Camp Nou,Supercopa,2,1,Barcelona,"Nadal, Giovanni",Raul,,
23-08-1997,Santiago Bernabeu Stadium,Supercopa,1,4,Real Madrid,Giovanni,"Raul, Raul, Mijatovic, Seedorf",,
01-11-1997,Santiago Bernabeu Stadium,La Liga,3,2,Barcelona,"Rivaldo, Enrique, Giovanni","Raul, Suker",,
07-03-1998,Camp Nou,La Liga,3,0,Barcelona,"Anderson, Figo, Giovanni",,,
19-09-1998,Santiago Bernabeu Stadium,La Liga,2,2,Draw,"Kluivert, Anderson","Raul, Raul",,
14-02-1999,Camp Nou,La Liga,3,0,Barcelona,"Enrique, Enrique, Rivaldo",,,
13-10-1999,Camp Nou,La Liga,2,2,Draw,"Rivaldo, Figo","Raul, Raul",,
26-02-2000,Santiago Bernabeu Stadium,La Liga,0,3,Real Madrid,,"Roberto Carlos, Anelka, Morientes",,
21-10-2000,Camp Nou,La Liga,2,0,Barcelona,"Enrique, Simao",,,
03-03-2001,Santiago Bernabeu Stadium,La Liga,2,2,Draw,"Rivaldo, Rivaldo","Raul, Raul",,
04-11-2001,Santiago Bernabeu Stadium,La Liga,0,2,Real Madrid,,"Morientes, Figo",,
16-03-2002,Camp Nou,La Liga,1,1,Draw,Xavi,Zidane,,
23-04-2002,Camp Nou,UEFA Championship,0,2,Real Madrid,,"Zidane, McManaman",,
01-05-2002,Santiago Bernabeu Stadium,UEFA Championship,1,1,Draw,,Raul,Helguera,
23-11-2002,Camp Nou,La Liga,0,0,Draw,,,,
19-04-2003,Santiago Bernabeu Stadium,La Liga,1,1,Draw,Enrique,Ronaldo Nazario,,
06-12-2003,Camp Nou,La Liga,1,2,Real Madrid,Kluivert,"Roberto Carlos, Ronaldo Nazario",,
25-04-2004,Santiago Bernabeu Stadium,La Liga,2,1,Barcelona,"Kluivert, Xavi",Solari,,
20-11-2004,Camp Nou,La Liga,3,0,Barcelona,"Eto'o, Bronckhorst, Ronaldinho",,,
10-04-2005,Santiago Bernabeu Stadium,La Liga,2,4,Real Madrid,"Eto'o, Ronaldinho","Zidane, Ronaldo Nazario, Raul, Owen",,
19-11-2005,Santiago Bernabeu Stadium,La Liga,3,0,Barcelona,"Eto'o, Ronaldinho, Ronaldinho",,,
01-04-2006,Camp Nou,La Liga,1,1,Draw,Ronaldinho,Ronaldo Nazario,,
22-10-2006,Santiago Bernabeu Stadium,La Liga,0,2,Real Madrid,,"Raul, Nistelrooy",,
10-03-2007,Camp Nou,La Liga,3,3,Draw,"Messi, Messi, Messi","Nistelrooy, Nistelrooy, Ramos",,
23-12-2007,Camp Nou,La Liga,0,1,Real Madrid,,Baptista,,
07-05-2008,Santiago Bernabeu Stadium,La Liga,1,4,Real Madrid,Henry,"Raul, Robben, Higuain, Nistelrooy",,
13-12-2008,Camp Nou,La Liga,2,0,Barcelona,"Eto'o, Messi",,,
02-05-2009,Santiago Bernabeu Stadium,La Liga,6,2,Barcelona,"Henry, Henry, Puyol, Messi, Messi, Pique","Higuain, Ramos",,
29-11-2009,Camp Nou,La Liga,1,0,Barcelona,Ibrahimovic,,,
10-04-2010,Santiago Bernabeu Stadium,La Liga,2,0,Barcelona,"Messi, Pedro",,,
29-11-2010,Camp Nou,La Liga,5,0,Barcelona,"Xavi, Pedro, Villa, Villa, Jeffren",,,
16-04-2011,Santiago Bernabeu Stadium,La Liga,1,1,Draw,Messi,C.Ronaldo,,
20-04-2011,Mestalla Stadium,Copa Del Rey,0,1,Real Madrid,,C.Ronaldo,,
27-04-2011,Santiago Bernabeu Stadium,UEFA Championship,2,0,Barcelona,"Messi, Messi",,,
03-05-2011,Camp Nou,UEFA Championship,1,1,Draw,Pedro,Marcelo,,
14-08-2011,Santiago Bernabeu Stadium,Supercopa,2,2,Draw,"Villa, Messi","Ozil, Xabi Alonso",,
17-08-2011,Camp Nou,Supercopa,3,2,Barcelona,"Iniesta, Messi, Messi","C.Ronaldo, Benzema",,
10-12-2011,Santiago Bernabeu Stadium,La Liga,3,1,Barcelona,"Alexis Sanchez, Xavi, Fabregas",Benzema,,
18-01-2012,Santiago Bernabeu Stadium,Copa Del Rey,2,1,Barcelona,"Puyol, Abidal",C.Ronaldo,,
25-01-2012,Camp Nou,Copa Del Rey,2,2,Draw,"Pedro, Alves","C.Ronaldo, Benzema",,
21-04-2012,Camp Nou,La Liga,1,2,Real Madrid,Alexis Sanchez,"Khedira, C.Ronaldo",,
23-08-2012,Camp Nou,Supercopa,3,2,Barcelona,"Pedro, Xavi, Messi","C.Ronaldo, Maria",,
29-08-2012,Santiago Bernabeu Stadium,Supercopa,1,2,Real Madrid,Messi,"Higuain, C.Ronaldo",,
07-10-2012,Camp Nou,La Liga,2,2,Draw,"Messi, Messi","C.Ronaldo, C.Ronaldo",,
30-01-2013,Santiago Bernabeu Stadium,Copa Del Rey,1,1,Draw,Fabregas,Varane,,
26-02-2013,Camp Nou,Copa Del Rey,1,3,Real Madrid,Alba,"C.Ronaldo, C.Ronaldo, Varane",,
02-03-2013,Santiago Bernabeu Stadium,La Liga,1,2,Real Madrid,Messi,"Benzema, Ramos",,
26-10-2013,Camp Nou,La Liga,2,1,Barcelona,"Neymar, Alexis Sanchez",Jese,,
23-03-2014,Santiago Bernabeu Stadium,La Liga,4,3,Barcelona,"Iniesta, Messi, Messi, Messi","Benzema, Benzema, C.Ronaldo",,
16-04-2014,Mestalla Stadium,Copa Del Rey,1,2,Real Madrid,Bartra,"di Maria, Bale",,
25-10-2014,Santiago Bernabeu Stadium,La Liga,1,3,Real Madrid,Neymar,"C.Ronaldo, Pepe, Benzema",,
22-03-2015,Camp Nou,La Liga,2,1,Barcelona,"Mathieu, L.A.Suarez",C.Ronaldo,,
21-11-2015,Santiago Bernabeu Stadium,La Liga,4,0,Barcelona,"L.A.Suarez, L.A.Suarez, Neymar, Iniesta",,,
02-04-2016,Camp Nou,La Liga,1,2,Real Madrid,Pique,"Benzema, C.Ronaldo",,
03-12-2016,Camp Nou,La Liga,1,1,Draw,L.A.Suarez,Ramos,,
23-04-2017,Santiago Bernabeu Stadium,La Liga,3,2,Barcelona,"Messi, Messi, Rakitic","Casemiro, Rodriguez",,
13-08-2017,Camp Nou,Supercopa,1,3,Real Madrid,Messi,"C.Ronaldo, Asensio",,Pique
16-08-2017,Santiago Bernabeu Stadium,Supercopa,0,2,Real Madrid,,"Asensio, Benzema",,
23-12-2017,Santiago Bernabeu Stadium,La Liga,3,0,Barcelona,"L.A.Suarez, Messi, Vidal",,,
06-05-2018,Camp Nou,La Liga,2,2,Draw,"L.A.Suarez, Messi","C.Ronaldo, Bale",,
28-10-2018,Camp Nou,La Liga,5,1,Barcelona,"Coutinho, L.A.Suarez, L.A.Suarez, L.A.Suarez, Vidal",Marcelo,,
06-02-2019,Camp Nou,Copa Del Rey,1,1,Draw,Malcom,Vazquez,,
27-02-2019,Santiago Bernabeu Stadium,Copa Del Rey,3,0,Barcelona,"L.A.Suarez, L.A.Suarez",,Varane,
02-03-2019,Santiago Bernabeu Stadium,La Liga,1,0,Barcelona,Rakitic,,,
18-12-2019,Camp Nou,La Liga,0,0,Draw,,,,
01-03-2020,Santiago Bernabeu Stadium,La Liga,0,2,Real Madrid,,"Vinicius, Diaz",,
24-10-2020,Camp Nou,La Liga,1,3,Real Madrid,Fati,"Valverde, Ramos, Modric",,
10-04-2021,Santiago Bernabeu Stadium,La Liga,1,2,Real Madrid,Mingueza,"Benzema, Kroos",,
24-10-2021,Camp Nou,La Liga,1,2,Real Madrid,Aguero,"Alaba, Vazquez",,
12-01-2022,King Fahd Stadium,Supercopa,2,3,Real Madrid,"Jong, Fati","Vinicius, Benzema, Valverde",,
20-03-2022,Santiago Bernabeu Stadium,La Liga,4,0,Barcelona,"Aubameyang, Aubameyang, Araujo, Torres",,,
16-10-2022,Santiago Bernabeu Stadium,La Liga,1,3,Real Madrid,Torres,"Benzema, Valverde, Rodrygo",,
15-01-2023,King Fahd Stadium,Supercopa,3,1,Barcelona,"Gavi, Lewandowski, Pedri",Benzema,,
02-03-2023,Santiago Bernabeu Stadium,Copa Del Rey,1,0,Barcelona,,,Militao,
19-03-2023,Camp Nou,La Liga,2,1,Barcelona,"Roberto, Kessie",,,Araujo
05-04-2023,Camp Nou,Copa Del Rey,0,4,Real Madrid,,"Vinicius, Benzema, Benzema, Benzema",,
28-10-2023,Camp Nou,La Liga,1,2,Real Madrid,Gundogan,"Bellingham, Bellingham",,
14-01-2024,Al -Awwal Park,Supercopa,1,4,Real Madrid,Lewandowski,"Vinicius, Vinicius, Vinicius, Rodrygo",,
21-04-2024,Santiago Bernabeu Stadium,La Liga,2,3,Real Madrid,"Christensen, Fermin Lopez","Vinicius, Vazquez, Bellingham",,
26-10-2024,Santiago Bernabeu Stadium,La Liga,4,0,Barcelona,"Lewandowski, Lewandowski, Yamal, Raphinha",,,
12-01-2025,King Abdullah Sport City,Supercopa,5,2,Barcelona,"Yamal, Raphinha, Raphinha, Balde, Lewandowski","Mbappe, Rodrygo",,
